Word,Post_Count
car,2802
bmw,1925
hyundai,1790
kia,1709
toyota,1671
like,1511
one,1354
would,1249
get,1236
dont,1181
think,989
well,910
even,860
new,856
much,830
better,793
good,772
im,761
acura,739
audi,737
drive,722
know,717
tl,706
also,695
honda,694
sedan,687
really,684
thats,642
pontiac,629
performance,628
want,618
luxury,615
time,608
years,608
back,607
see,599
still,599
make,598
people,592
could,586
price,585
lexus,578
way,576
driving,562
buy,537
say,529
cts,527
ive,519
series,516
best,504
go,503
infiniti,496
brand,481
many,478
less,470
going,466
doesnt,445
never,444
cant,443
year,441
great,434
seat,432
interior,416
since,414
agree,414
look,413
take,409
point,404
right,402
sure,398
sport,397
need,394
first,389
lot,388
little,388
looking,381
us,381
got,380
around,379
thing,376
something,374
engine,374
every,372
nice,371
two,366
actually,366
miles,361
last,359
find,357
manual,356
isnt,354
id,353
cost,351
pretty,350
may,347
used,339
far,338
another,338
problem,336
probably,332
feel,331
big,326
though,325
maybe,323
vehicle,321
however,320
put,320
least,316
power,315
didnt,314
handling,314
old,313
ellps,312
mercedes,312
class,311
test,309
long,304
money,302
makes,301
might,296
without,295
ever,292
made,292
ill,290
getting,290
use,288
different,288
dodge,288
awd,282
almost,281
rwd,279
come,278
difference,277
volvo,277
vehicles,275
looks,273
value,268
youre,265
bit,264
next,263
either,263
high,262
top,262
real,261
keep,261
bad,261
nissan,261
enough,259
end,258
etc,257
fun,257
guess,256
always,254
yes,254
anything,252
drove,252
transmission,251
believe,250
fwd,250
hp,247
dealer,246
others,246
seems,246
cadillac,242
current,242
driven,241
hard,241
yet,239
quality,238
rocky,238
fact,238
able,235
post,235
package,231
course,231
give,230
gm,230
tires,229
read,228
sports,228
auto,227
thought,227
compared,226
bought,225
comes,224
level,223
nothing,223
pay,223
experience,222
rear,221
based,220
quite,217
reason,217
things,217
leather,216
expensive,213
front,212
vs,211
road,210
deal,210
line,210
is350,208
volkswagen,208
tell,207
talking,206
anyone,206
models,204
segment,204
chevrolet,203
close,203
love,203
entry,201
buying,199
system,199
weight,199
ed,199
speed,197
ford,196
ago,196
else,194
mazda,194
sales,193
market,193
automatic,193
size,193
lease,193
options,193
add,192
base,192
true,190
suspension,190
wont,188
part,187
day,187
wrong,186
someone,184
couple,184
ride,184
wouldnt,183
msrp,182
consider,182
mean,181
option,181
work,179
gas,178
small,178
trying,178
case,177
coupe,177
reliability,177
wheel,176
forum,176
offer,175
lincoln,175
low,171
2007,171
steering,170
try,168
worth,167
choice,167
arent,167
premium,166
seen,165
second,164
theres,164
especially,163
wheels,162
sell,160
care,159
available,158
discussion,158
warranty,157
standard,157
let,156
came,156
world,155
mb,155
everything,154
v6,154
bmws,153
gets,153
saying,152
today,152
seem,152
features,152
sporty,151
rather,151
fit,151
extra,150
mileage,150
costs,150
driver,150
higher,150
kind,149
months,149
torque,148
buick,147
335,147
found,147
change,147
must,146
given,145
making,145
fine,144
issue,144
matter,144
track,142
unless,142
already,141
times,141
stick,141
certainly,141
went,140
free,140
2008,140
plus,140
maintenance,140
lets,139
due,139
days,139
wife,139
surprise,138
done,138
away,138
thanks,138
japanese,138
place,138
turbo,137
yeah,136
wanted,136
definitely,136
took,136
exactly,136
three,135
numbers,134
compare,134
sound,134
several,133
factor,133
similar,132
instead,131
owned,131
understand,131
tls,131
run,130
imo,130
interesting,130
live,130
set,129
near,129
issues,129
edmunds,128
2006,128
opinion,128
regardsshipo,127
side,127
330i,127
fast,126
service,126
cheaper,126
loaded,126
10,126
mind,126
sorry,125
ing,125
considered,125
everyone,125
oh,124
wasnt,124
remember,123
show,123
drivers,123
havent,122
caddy,122
lbs,122
check,121
family,121
german,121
perhaps,121
comparison,120
start,120
coming,118
personally,118
drives,118
owners,118
confuse,117
sold,117
30k,117
rest,117
heavy,117
ctsv,117
please,117
although,117
theyre,117
call,116
lower,116
goes,116
considering,116
american,115
subaru,115
except,115
hope,115
previous,115
version,114
personal,114
bigger,114
order,114
question,113
per,113
08,113
is250,113
number,113
turn,113
mentioned,112
example,112
talk,111
fuel,111
type,111
short,111
resale,110
prices,110
purchase,110
move,110
buyers,110
20,110
room,110
past,110
porsche,109
built,109
guys,109
design,109
saab,109
reliable,109
average,109
mpg,108
space,108
person,108
light,108
needs,108
likely,108
bimmer,107
wants,107
idea,107
simply,106
means,106
category,106
behind,106
whole,106
doubt,106
brakes,105
control,105
parts,105
door,104
comparing,104
couldnt,104
100,103
911,103
cheap,103
guy,103
posts,103
07,103
looked,103
30,102
inside,102
left,102
youll,102
huge,102
wait,102
happy,102
oil,101
heard,101
often,101
including,100
40k,100
important,100
dealership,100
range,100
spend,100
ones,100
mine,100
6speed,99
styling,99
europe,99
feels,99
mile,98
dealers,98
company,98
smaller,98
says,98
felt,97
hand,97
thinking,96
repair,96
enjoy,96
european,96
longer,95
060,95
e90,95
style,94
called,94
snow,94
