Word,Frequency
kia,5982
hyundai,6179
bmws,176
owners,153
paid,93
badge,73
rather,162
car,6134
imho,101
im,998
glad,49
added,85
dont,1577
speak,37
assume,89
know,846
nothing,245
bmw,4224
buyer,96
except,122
small,215
select,26
fewyou,1
right,455
people,848
pay,261
potential,41
understands,4
behind,118
worked,35
hard,266
engineer,11
want,822
ultimate,43
driving,726
experience,274
havent,122
driven,280
borrow,4
one,1875
friends,77
overnight,13
fun,317
matter,157
afford,81
43500,2
worth,196
porsche,161
911,133
twice,53
price,813
chevrolet,267
8000,8
rolex,2
better,1091
30,118
timexwhy,1
would,1799
anyone,216
8,86
oz,1
tenderloin,1
get,1695
14,59
pounder,1
cheese,3
2rocky,1
cant,492
tell,244
difference,336
doesnt,506
mean,208
isnt,403
may,427
many,567
us,486
isi,6
applaud,4
cadillac,332
guts,5
build,86
market,225
like,2142
cts,1022
sublime,6
competent,22
appealing,16
sport,575
sedan,983
accounts,11
gm,346
good,974
things,243
solsticesky,1
hope,121
continue,48
moving,31
forward,59
path,6
started,79
underachieving,1
overachieving,1
relative,40
terms,99
boy,19
learned,24
lesson,12
school,41
way,681
lol,37
achieving,5
top,302
20,125
income,23
level,265
early,69
late20s,1
quite,250
impressiveive,1
made,343
56k,5
ever,331
since,482
24,33
last,394
year,545
58k,2
yr,13
eclipse,3
60k,29
boasting,5
never,520
enough,301
unless,146
rich,18
brightness,10
money,365
aint,30
thang,2
p,285
jk,4
hows,7
kiddo,1
keep,284
mind,131
however,370
average,151
earner,1
buy,673
averagepriced,1
new,1204
avearge,1
households,3
used,394
agree,447
ya,37
pal,12
seems,285
able,273
house,54
id,425
willing,80
really,823
tough,33
costs,191
3050,3
buyers,132
annual,13
time,736
purchase,122
still,705
living,36
parents,21
somethingit,1
done,149
person,114
finacial,1
savy,2
credit,35
card,17
debt,1
broke,12
furniture,5
latest,30
electronics,23
wise,38
throw,47
away,142
expensive,243
depreciates,5
rewardinga,1
typical,61
cost,486
50,89
purchasetime,1
three,151
years,800
acquisition,12
depreciation,77
interest,79
payment,60
insurance,27
etc,301
means,110
roughly,27
16,34
someone,194
acquires,1
aftertax,1
first,457
buys,43
40k,118
80k,12
youve,78
read,250
posts,106
forum,209
dumb,24
looking,442
inferior,30
holds,23
resale,156
well,1137
even,1093
though,367
arm,28
leg,40
pleather,12
hardly,53
options,248
surprise,153
thats,749
manageable,1
lease,328
subsidies,4
manufacturers,102
rebates,18
reflected,3
residual,60
change,159
numbers,164
significantly,34
neither,58
available,179
rocky,247
2,411
3,1124
series,797
drove,318
nice,444
otoh,11
toyota,2788
detriot,3
torque,212
heart,26
racing,25
325is,12
20t,98
audi,1694
guess,289
belong,74
either,293
worship,4
lord,8
knows,51
entitled,13
everybody,25
respects,4
thatwell,2
getting,328
chastized,1
mot,1
following,51
lockstep,1
left,107
avoid,40
sensitive,7
enjoy,106
debate,38
tagline,1
wait,106
2008,174
toastim,1
saying,178
toast,4
slice,12
2000000,2
unit,28
pie,6
taken,62
finally,74
yeah,144
take,475
sales,269
bimmer,130
say,637
win,38
back,771
took,151
two,436
live,146
superchargings,1
putting,61
close,226
900hp900,1
hp,351
funny,68
rotf,1
character,43
kdshapiro,15
sipping,6
fuel,161
40mpg,1
averaging,12
4,339
secs,11
60,78
see,695
post,261
wont,201
fit,177
backseatyeah,1
knee,9
ears,4
sitting,52
style,102
work,200
family,141
surprisethe,1
ctsv,160
beat,83
youll,107
need,444
trunk,71
full,100
gascurrently,1
100,116
advantage,64
gets,171
epa,51
ill,325
200300,8
horses,4
060,115
flat,49
procky,3
thread,83
entry,251
luxury,947
performance,856
xtype,32
business,60
perform,45
generic,6
hauler,7
specs,26
227,1
bhp,8
remember,131
days,158
50l,3
ford,270
200,54
somewhat,61
near,136
heap,4
times,161
less,557
250,51
youre,322
atso,1
performancy,1
horsepower,98
priceif,2
hand,108
boxster,33
go,569
mercedesbenz,3592
benz,3592
kompressor,2
thought,251
confuse,122
rockyim,2
going,550
give,241
economics,6
try,186
convince,21
marketing,59
payroll,5
care,175
drive,994
vice,7
nissan,510
sure,427
share,74
personal,135
financially,9
soph,13
icated,11
flocking,2
lexus,933
acura,739
1987,23
1995,45
owned,159
initial,28
12600,2
retired,11
salvation,2
army,3
w,66
127k,2
miles,498
present,17
20500,3
primary,11
duty,12
2004,104
alive,6
kicking,3
155k,14
milesperhaps,1
gmcadillac,3
model,408
find,413
attractive,47
next,297
10,139
seriously,97
dificult,1
renting,3
value,391
number,122
built,119
